,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Op. 12 iii,11,58,26,27,31,28,22,10,20,15,9,23,2,12,6,6,5,3,1,1,2,2,4,1,0,2,2,4,0,1,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 12 iv,2,44,13,12,18,10,17,6,12,6,3,15,1,7,7,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 13 i,40,123,31,33,43,26,38,13,21,15,13,40,0,22,4,1,2,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 13 ii,30,30,13,16,20,7,11,2,6,5,6,18,0,7,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 13 iii,65,123,19,29,19,23,17,7,20,7,2,26,0,23,2,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 13 iv,22,52,33,45,31,26,20,8,21,13,9,41,1,18,2,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 14 i,20,21,14,41,25,27,25,11,23,16,7,57,2,46,9,5,5,7,7,0,1,1,0,7,1,4,1,0,0,1,2,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 14 ii,60,36,11,43,41,37,25,15,27,20,8,70,2,45,6,5,2,0,2,1,6,2,6,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Op. 14 iii,38,56,6,32,28,32,20,14,22,8,6,47,1,22,5,2,4,1,1,0,1,4,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 14 iv,17,161,48,46,37,33,32,13,20,9,9,68,0,24,3,5,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
